,楼盘名称,经度,纬度,总价,单价,待售,期房在售,售罄,现房在售,尾盘,其他,刚需房,学校,改善房,品牌开发商,大型社区,轨交房,大型超市,公寓,商场,公园,投资地产,婚房,低密度,公交枢纽,低总价,住宅,别墅_属性,商住,店铺,购物中心,商业街,其他,南关,朝阳,净月,绿园,二道,高新,经开,宽城,汽开,长春周边,高层,花园洋房,别墅_建筑类型,多层,产权年限,容积率,绿化率,居住人数,在建中,已竣工,已封顶,规划中,物业费,车位数,车位比,1室,2室,3室,4室,5室,6室,7室,别墅_户型,商户,开盘年份,开盘月份,开盘日,交盘年份,交盘月份,交盘日,站点数目,平均距离,平均线路数目,平均打分,平均轨道数目
0,天茂湖,125.236257,43.771314,3509790.881,12000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,70,1.1,0.4,200,1,0,0,0,1,500,0,0,1,4,3,1,0,0,0,0,2018,5,26,2018.184675,9.608352987,30.01640875,12,1792,1.333333333,1.333333333,0
1,亚泰山语湖,125.313642,43.898338,5000000,12750,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,70,1.44,0.3591,1362,1,0,0,0,2,1045,0,0,1,2,0,0,0,0,1,0,2015.846154,7.615384615,12.15384615,2016.75,9.321428571,25.75,12,1836.75,4.833333333,5,0.166666667
2,国信南山,125.532929,43.689156,4000000,12250,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,70,1.1,0.4,1200,1,0,0,0,3,1000,0,0,2,4,3,1,0,0,7,0,2018,2,1,2019,12,31,4,1939.75,1,1,0
3,首地首城,125.417437,43.847487,4247080.335,11500,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,50,2.2,0.305,5386,1,0,0,0,1,480,1.743077224,1,1,3,0,0,0,0,0,0,2016.169492,9.06779661,16.52542373,2017.633333,8.516666667,24.88333333,15,1535.866667,5.266666667,5.6,0.333333333
4,香港城,125.251369,43.910302,3536852.404,9000,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,70,1.87,0.37,7815,0,1,0,0,1,3387,0,3,12,4,0,0,0,0,0,0,2018,5,18,2017.232609,10.49498589,29.28558086,12,1407.333333,2.916666667,2.916666667,0
5,新星宇裕府,125.313642,43.898338,1313780.183,9598.560388,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.99824639,1.600242919,0.311567336,1224,0.333334197,0.666665811,0,0,0.499998029,399,1.00000381,1,3,1,1,0,0,0,0,0,2014.96,6.773333333,18.26666667,2014.881579,9.736842105,22.09210526,12,1733.583333,2.666666667,2.666666667,0
6,保利金香槟,125.338679,43.816843,4385254.442,8600,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,70.00000089,1.600694147,0.4,1222,0,0,1,0,0.292567453,1687,1,0,0,0,0,0,0,0,0,8,2018,6,2,2019,11,30,14,1591.785714,3.571428571,3.714285714,0.142857143
7,万达文华公馆,125.296496,43.87429,4559731.824,15000,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,70,2.09,0.35,984,0,1,0,0,1,950,1,0,1,4,2,0,0,0,0,0,2016.270222,6.954954803,15.85885841,2017.108309,9.554179334,29.89783208,17,1460.058824,5.705882353,6,0.294117647
8,太阳世家,125.290676,43.813495,3900000,12000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,70,1.8,0.66,1470,0,1,0,0,2,1251.636066,0,0,0,0,1,1,0,1,1,0,2017,9,16,2011,12,31,12,1756.083333,3.333333333,3.333333333,0
9,钜城国际中心,125.325687,43.802656,1265913.805,10254.6489,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,69.99999171,1.600585306,0.325505659,750,1,0,0,0,1,1080,0,0,0,0,0,0,0,0,0,3,2018,1,18,2016.900779,9.841810179,25.39612693,15,1740.6,3.4,3.6,0.2
10,华润置地凌雲府,125.313642,43.898338,2534120.231,11789.75142,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,69.99998917,1.600801496,0.321978774,620,1,0,0,0,0.251277819,687,1,0,1,3,2,0,1,0,0,0,2016.252984,7.020115331,14.10919613,2017.545539,9.67741976,30.0938429,8,1917.25,1.25,1.25,0
11,华润置地万象府,125.313642,43.898338,2529337.302,11999.97301,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70.0000033,1.603118379,0.309566636,752,0,0,0,1,0.292804512,752,1,0,0,2,0,0,0,0,0,0,2014.400039,4.400083518,21.39981982,2014.000099,7.600050219,20.40015588,20,1925.85,4.75,5.25,0.5
12,力旺康城,125.380184,43.950968,4248772.03,11500,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,50,1.2,0.4,4700,1,0,0,0,1,1500,0,0,11,12,3,0,0,0,0,0,2018,6,22,2020,8,30,12,1703.75,2,2,0
13,良品柏宏筑福里,125.313642,43.898338,3865791.399,8900,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,70,2,0.35,756,1,0,0,0,1,891,0,0,3,5,1,0,0,0,0,0,2018,6,17,2019,10,31,12,1605.75,1.666666667,1.666666667,0
14,恒大名都,125.221608,43.816432,3330395.505,8800,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,70,2.49,0.35,5522,1,0,0,0,1,3757,0,0,4,5,1,1,0,0,0,0,2016.780434,6.985163256,14.88130579,2016.939121,9.669565164,30.41739116,12,1464.833333,2.833333333,2.833333333,0
15,雨润星雨华府,125.278516,43.996568,2921016.537,6600,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,70,1.8,0.4,1820,1,0,0,0,1,1400,0,0,6,5,1,0,0,0,0,0,2018,6,1,2016.513158,7.791997317,29.0599888,12,1683.416667,2.583333333,2.583333333,0
16,恒大帝景,125.433262,43.897514,4825680.859,11000,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,70,2,0.3,3250,1,0,0,0,1,2600,0,0,2,5,0,0,0,0,0,0,2018,6,23,2019,10,31,12,1438.666667,4,4,0
17,万科城市之光,125.313642,43.898338,4085551.077,14000,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,70,2.3,0.3,1860,1,0,0,0,1,2234,0,0,1,10,5,0,0,0,0,0,2018,6,12,2019,9,30,12,1756.583333,3,3,0
18,新星宇之新观邸,125.245253,43.833225,4621824.986,11000,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,70,2,0.3,1350,1,0,0,0,1,1377,1,0,5,12,1,0,0,0,0,0,2018,4,22,2018,10,31,11,1558.090909,3.545454545,3.545454545,0
19,中海龙玺,125.313642,43.898338,3490675.972,12000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,70,2.5,0.35,900,1,0,0,0,1,1000,1,0,0,4,1,0,1,0,0,0,2018,5,9,2020,10,30,12,1670.583333,2.25,2.5,0.25
20,中海景阳公馆,125.327309,43.857046,3435895.34,6500,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,69.99999445,1.600223463,0.35,2800,1,0,0,0,0.251375968,2924,1,0,0,0,0,0,0,0,0,2,2018,5,11,2020,6,30,12,1658.583333,3.333333333,3.333333333,0
21,中天北湾新城,125.397731,43.972446,2850399.016,10000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,70,1.99,0.362,2266,1,0,0,0,0,1200,0,4,15,4,0,1,0,0,0,0,2018,5,19,2018,11,30,12,1539.416667,2,2.166666667,0.166666667
22,中海盛世城,125.312013,43.871104,2200000,10500,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,70,2.3,0.31,1308,1,0,0,0,2,1159.041745,0,0,1,2,1,0,0,0,0,0,2018,5,17,2020,10,30,12,1391.916667,1.833333333,1.833333333,0
23,华润净月臺,125.458157,43.80934,3726545.661,12000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,69.99836652,1.642956547,0.316032892,278,1,0,0,0,4,1,2.069348857,0,0,2,1,0,0,0,0,0,2017.170122,8.327533697,15.33623338,2019,10,30,12,1442.833333,4,4,0
24,金色橄榄城,125.419802,43.891893,3113437.717,10500,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,1.8,0.3730457,3879,1,0,0,0,0,415,0,0,8,5,0,0,0,0,0,0,2018,3,31,2016.407548,8.440670393,29.30953363,12,1676.333333,3.333333333,3.333333333,0
25,华润置地公馆,125.313642,43.898338,280000,8800,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,69.99658913,1.602110446,0.3,1401,1,0,0,0,0.210298299,750,0,0,0,0,0,0,0,0,0,10,2018,3,23,2015.730836,7.62510015,23.03856837,14,1574.571429,1.928571429,2.071428571,0.142857143
27,高新君園,125.313642,43.898338,1220135.426,10419.91174,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,69.99999558,1.60160786,0.345131466,1200,1,0,0,0,0.221223982,1620,0,0,0,4,9,5,1,0,0,0,2016.445566,5.890668673,12.73346501,2016.733215,10.82112201,29.488415,12,1694.5,1.25,1.25,0
29,高新君園,125.313642,43.898338,1220135.426,10942.03566,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,69.99999558,1.60160786,0.345131466,1200,1,0,0,0,0.221223982,1620,0,0,0,4,9,5,1,0,0,0,2016.445566,5.890668673,12.73346501,2016.733215,10.82112201,29.488415,12,1694.5,1.25,1.25,0
31,兆丰青年路玖号,125.300139,43.934496,3368657.708,6500,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,70,2,0.37,1413,0,0,1,0,0,782,0,0,8,2,0,0,0,0,0,0,2018.000159,5.000010198,21.99983805,2018,10,31,12,1539.666667,1.916666667,1.916666667,0
